#id_star,coord1,coord2,ra,dec,star_distance,age,U,V,W,rV,pmra,pmdec,met,component,ebv,Z,log_age,M_ini,M_act,log_L,log_T,log_g,m_bol,mag_u,mag_g,mag_r,mag_i,mag_z,int_IMF,stage,mag_u_corr,mag_g_corr,mag_r_corr,mag_i_corr,mag_z_corr
24,113.68358538045483,-22.23319962041589,1.6083,39.8229,19938.7459,9.9762,177.5719,-77.629,-2.0984,-131.0363,2.0178,0.3645,-1.7561,1,0.099,2.46E-4,10.0,0.6342755856630571,0.6341272087541178,-0.5101857232327056,3.7436994545723388,4.677333608134795,6.045474852256847,7.473775543435764,6.5153782580482815,6.041432675556517,5.875896619260141,5.814276209563105,2.9819223062121463,1.0,23.47147404856034,23.017742030717674,22.402034400246414,22.785071570622826,22.426185845866435
25,113.72287536579127,-22.21828139970797,1.6512,39.8444,19956.3737,9.9697,128.7477,-91.4777,-17.3754,-118.9105,1.6615,0.0122,-1.806,1,0.099,2.46E-4,10.0,0.687313443167324,0.6870322861452337,-0.2848616203048006,3.7717460285525557,4.598748098425627,5.4821023329610865,6.692987077806239,5.862941269781832,5.483895461757426,5.363872557745221,5.334056524936679,3.01525683039647,1.0,23.04325984017194,22.33198906933435,21.875036024852353,21.534651034319577,21.917738264530513
26,113.72232567816893,-22.176699664279916,1.6404,39.8851,19921.0791,10.0417,138.0343,-93.5957,12.5645,-135.5151,1.7055,0.3266,-1.7974,1,0.099,2.46E-4,10.0,0.6643831695431406,0.6641693605817723,-0.38356534957698457,3.760094340734985,4.636055996855775,5.729113185300294,7.018158459420412,6.14313204951701,5.725912430731626,5.587302621338933,5.544696584789585,3.001468657797918,1.0,23.766260764613282,22.820822806327516,21.980692086906828,21.864742422106175,22.532054716008684
27,113.69330531867713,-22.182821079009184,1.6075,39.8741,20097.1786,9.959,154.3106,-106.4587,-25.6093,-138.0193,1.9707,-0.0212,-1.8161,1,0.099,2.46E-4,10.0,0.7517186657038544,0.7512140764681676,0.019862146835800544,3.8008346042006433,4.449355742234297,4.720145647091099,5.791921306756693,5.02010507986709,4.7593497038135,4.690574044147905,4.695390271037509,3.049634469880816,1.0,22.135525905351486,21.58279672824242,21.251953090269424,21.17492584887354,21.069410566205086
29,113.68421454362347,-22.225147916138553,1.6071,39.8309,19912.2145,10.0221,153.6011,-117.5702,-24.6693,-147.4542,2.0347,-0.0461,-1.8149,1,0.099,2.46E-4,10.0,0.7142523487467304,0.713856798800766,-0.16452805851211308,3.784559232522656,4.546480247383364,5.181812774404234,6.319987124286759,5.527340974337105,5.198078161941994,5.099402524488144,5.084608937017514,3.030383903229105,1.0,22.74467545266957,22.029388590251276,21.780679261533233,21.621818323873047,21.716461866349576
30,113.75872566241247,-22.234907820262716,1.6977,39.8342,19994.9347,10.123,156.7376,-68.4806,0.3743,-116.6096,1.7721,0.3405,-1.5263,1,0.099,4.91E-4,10.0043,0.8234878988789855,0.822386896351575,0.47964719000236433,3.8154451355573324,4.08713441124734,3.5706320249940893,4.6552514827647595,3.80601786232529,3.596246187662888,3.5558603503316872,3.5794745130004864,3.081742634289619,1.0,21.06794247960491,20.298580452057294,20.1206743725435,20.064276050032856,19.94766741731693
31,113.72649893052917,-22.18730162794252,1.6479,39.8755,20209.4771,10.02,138.8091,-83.5485,-11.3727,-118.2456,1.6834,0.1248,-1.6546,1,0.099,3.1E-4,10.0,0.6448436666441054,0.6446641414102595,-0.47250785414797813,3.7480190407995173,4.663872898278817,5.951317585342185,7.350976378013277,6.4031125825660835,5.942317585342185,5.785207786563669,5.729481587563066,2.9889747596808696,1.0,23.483305880776566,23.21139280977601,22.238499570722755,22.643766914476892,21.629037539128657
32,113.66047518163064,-22.201990063801365,1.5733,39.8496,20106.7292,10.1311,179.4914,-93.392,-29.63,-134.6949,2.1445,0.0622,-1.7864,1,0.099,2.46E-4,10.0043,0.7590246269055796,0.7585001984810876,0.06578550592869696,3.8042532097679644,4.421202448923795,4.60546591750948,5.671497022783686,4.895371940083233,4.645747188184592,4.581997353585499,4.591122436285953,3.053169941915502,1.0,21.4884471073113,21.42888287171966,21.172524928713194,21.1375053247136,21.171402473530154
33,113.74870148517888,-22.27017963145174,1.6944,39.7979,19864.646,10.0463,157.1201,-60.6943,-9.5597,-106.3443,1.7675,0.2702,-1.7824,1,0.099,2.46E-4,10.0,0.7830964191898437,0.7824156440497597,0.2034669676386908,3.814160145093803,4.336572632569312,4.261723778711185,5.315158987479536,4.523117426937117,4.304723778711185,4.257418152406132,4.277547734869429,3.0643847163115345,1.0,21.639263324122922,20.97853921088736,20.75201396388627,20.744391738937416,20.473819020317556
34,113.75826029219132,-22.269758741579153,1.7056,39.7999,19986.7544,10.0148,149.3575,-68.0329,-12.2193,-108.6767,1.7257,0.196,-1.779,1,0.099,2.46E-4,10.0,0.7934918895775845,0.7926657022523879,0.27523870953228097,3.818286124004488,4.2870081399326745,4.0820760013684,5.1340760013684,4.3306859549522425,4.1260760013684,4.085848249377377,4.111311598182763,3.069024701381572,1.0,21.730027187624202,20.858423586962022,20.61543982947869,20.56455107158974,20.441706421763556
35,113.79776041153303,-22.205433017134244,1.7368,39.8699,20133.4974,9.8953,141.8967,-78.9553,-7.8642,-116.9224,1.6898,0.1801,-1.6919,1,0.099,3.1E-4,9.9956,0.6703700674359443,0.6701802111625615,-0.3675047242596989,3.7613422947309885,4.629053413459668,5.689000864900709,6.97601574753233,6.095606817953358,5.682044647894859,5.546285454362686,5.506438694842212,3.0051834116997784,1.0,24.138320267297107,22.329054410655072,22.169897411581797,22.04612362432506,22.088433782840944
37,113.60727512471635,-22.20680247489651,1.5115,39.8355,19828.6545,9.9112,130.9099,-83.8941,-6.3359,-117.3128,1.6343,0.1504,-1.8031,1,0.099,2.46E-4,9.9956,0.6679393526626741,0.667704823453619,-0.37096687521775584,3.7616771615180835,4.632284348083329,5.697625104363179,6.974590978746029,6.1066451210612875,5.694540937000758,5.558530928651703,5.517773422389912,3.0036825281628077,1.0,22.28716746759597,22.41120644569866,22.14603951829965,21.96670098456881,22.167437953908777
39,113.71302071418344,-22.23597325248191,1.6438,39.8253,20117.7676,9.9941,173.2445,-99.2074,-6.3241,-146.1735,2.0719,0.2455,-1.805,1,0.099,2.46E-4,10.0,0.7231441611618435,0.7227548472035201,-0.12283224492234807,3.788530262388348,4.526036797334061,5.077389396454557,6.19497322110757,5.4111515819705645,5.100273167101804,5.00968666455955,5.0000407083962966,3.0351128335597,1.0,22.46610959380176,21.913848193366096,21.545773113567403,21.70941167537736,21.094425548120075
