# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Fri Feb 21 18:17:57 CET 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: SDSS <i>ugriz</i>
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  umag    gmag    rmag    imag    zmag
0.00015547 -2.00000 10.00000 0.7250341177 2.3893582821    0.725 -0.102  3.7919  4.519    1  0.000  0.536     0.00     0.00 -1  -6.4e-14      0.00 8.406e-01 1.593e-01 1.984e-05 5.412e-06 4.931e-05 -1.000 8.148e-05 5.024 6.099 5.340 5.046 4.960 4.953
0.00015547 -2.00000 10.00000 0.7358090878 2.3940041065    0.735 -0.048  3.7966  4.491    1  0.000  0.534     0.00     0.00 -1 -7.41e-14      0.00 8.459e-01 1.540e-01 1.930e-05 5.282e-06 4.817e-05 -1.000 1.043e-04 4.891 5.951 5.195 4.918 4.840 4.838
0.00015547 -2.00000 10.00000 0.7459657192 2.3982422352    0.746  0.004  3.8010  4.463    1  0.000  0.532     0.00     0.00 -1 -8.58e-14      0.00 8.505e-01 1.494e-01 1.886e-05 5.177e-06 4.726e-05 -1.000 7.454e-05 4.760 5.808 5.052 4.790 4.720 4.723
0.00015547 -2.00000 10.00000 0.7500000000 2.3998889923    0.750  0.025  3.8027  4.450    1  0.000  0.531     0.00     0.00 -1 -9.12e-14      0.00 8.522e-01 1.478e-01 1.870e-05 5.142e-06 4.695e-05 -1.000 6.360e-05 4.706 5.751 4.994 4.738 4.670 4.675
0.00015547 -2.00000 10.00000 0.7574196458 2.4028651714    0.757  0.066  3.8061  4.428    1  0.000  0.531     0.00     0.00 -1 -1.02e-13      0.00 8.529e-01 1.471e-01 1.872e-05 5.150e-06 4.704e-05 -1.000 7.641e-05 4.606 5.645 4.884 4.639 4.577 4.586
0.00015547 -2.00000 10.00000 0.7659633756 2.4062101841    0.765  0.115  3.8099  4.399    1  0.000  0.530     0.00     0.00 -1 -1.18e-13      0.00 8.536e-01 1.464e-01 1.876e-05 5.162e-06 4.717e-05 -1.000 8.415e-05 4.483 5.516 4.750 4.519 4.463 4.477
0.00015547 -2.00000 10.00000 0.7741444111 2.4093339443    0.773  0.165  3.8135  4.368    1  0.000  0.530     0.00     0.00 -1 -1.36e-13      0.00 8.541e-01 1.458e-01 1.880e-05 5.175e-06 4.731e-05 -1.000 1.167e-04 4.358 5.389 4.615 4.395 4.346 4.364
0.00015547 -2.00000 10.00000 0.7817934155 2.4121863842    0.781  0.215  3.8169  4.335    1  0.000  0.529     0.00     0.00 -1 -1.57e-13      0.00 8.546e-01 1.453e-01 1.884e-05 5.189e-06 4.745e-05 -1.000 1.320e-04 4.233 5.262 4.480 4.271 4.227 4.249
0.00015547 -2.00000 10.00000 0.7910034657 2.4155371189    0.790  0.280  3.8209  4.291    1  0.000  0.529     0.00     0.00 -1 -1.91e-13      0.00 8.550e-01 1.449e-01 1.890e-05 5.209e-06 4.765e-05 -1.000 1.111e-04 4.070 5.099 4.304 4.108 4.072 4.098
0.00015547 -2.00000 10.00000 0.7995058894 2.4185516834    0.798  0.346  3.8242  4.242    1  0.000  0.529     0.00     0.00 -1 -2.34e-13      0.00 8.552e-01 1.447e-01 1.897e-05 5.229e-06 4.785e-05 -1.000 7.017e-05 3.904 4.934 4.127 3.942 3.911 3.942
