#id_star,coord1,coord2,ra,dec,star_distance,age,U,V,W,rV,pmra,pmdec,met,component,ebv,Z,log_age,M_ini,M_act,log_L,log_T,log_g,m_bol,mag_u,mag_g,mag_r,mag_i,mag_z,int_IMF,stage,mag_u_corr,mag_g_corr,mag_r_corr,mag_i_corr,mag_z_corr
34,110.57271569887438,-24.101854419788605,358.5462,37.3843,25029.4269,12.001,157.279,-91.6114,12.6809,-133.9192,1.4694,0.3565,-1.7384,1,0.1167,3.1E-4,10.0792,0.7137589976885901,0.7133315837920406,-0.0894250350881495,3.7880218067605904,4.484741337811298,4.99340594582799,6.121080121486956,5.324959824195556,5.011598932321357,4.920791918814724,4.911358337738558,3.0301088653102908,1.0,21.94288866638372,22.33826124199251,21.937023301185484,21.79609610646798,22.000339972144445
37,110.61459512410521,-24.093981840948892,358.5905,37.4012,25011.0738,12.0259,171.4605,-89.3814,-17.0372,-124.523,1.6223,0.183,-1.7227,1,0.1167,3.1E-4,10.0792,0.6574056770615215,0.6571752165756753,-0.3703562425830688,3.759562765413611,4.616340886705145,5.696340920709219,6.996117037591668,6.107930864659725,5.688340920709219,5.550545948733966,5.5080490912494335,2.9971120041121018,1.0,24.524382341708023,22.89273976821473,22.3865953749555,22.644521471835244,22.47450730830796
38,110.61565250520665,-24.13536469794793,358.6042,37.3612,24660.8407,12.0426,160.4575,-97.2218,-7.2581,-131.6314,1.5737,0.2059,-1.7202,1,0.1167,3.1E-4,10.0792,0.7451088951954966,0.7444244706439906,0.10572195777100597,3.80172732142075,4.36294064422735,4.505523852381614,5.586770536066258,4.7960172197509,4.539523852381614,4.472715497775811,4.480030485012328,3.046373478711646,1.0,22.682281175653245,21.735552894436626,21.481819944483806,21.400235540346394,21.682072411975106
41,110.59930248641167,-24.090910610572806,358.5725,37.4008,24922.1631,11.9939,164.9543,-107.5189,-18.3415,-137.3725,1.6486,0.1101,-1.7302,1,0.1167,3.1E-4,10.0792,0.6855852651744345,0.68523290603808,-0.2363246895539923,3.774313757955138,4.55934217890367,5.360399548991484,6.562235960919845,5.730966454529652,5.360994347287432,5.245535244305342,5.219427441749264,3.0142617419579074,1.0,23.486493342117058,22.656666379916256,22.339664474290657,22.23866486427167,22.055008815734922
44,110.56710940895486,-24.098452200195208,358.5389,37.3864,24882.3479,12.0183,168.7246,-113.4021,-16.7006,-144.2092,1.6976,0.1205,-1.7105,1,0.1167,3.1E-4,10.0792,0.6716278810861414,0.671354990010263,-0.303830762331592,3.7670907090529946,4.589113020645456,5.5291401198768435,6.776784440793059,5.9200944208135855,5.524898688451204,5.398921537982833,5.364438675131555,3.0059346493261065,1.0,23.575411860005644,23.131067189639094,22.39184386853369,21.961960627113758,21.974533478500906
47,110.56195149965711,-24.078702264086854,358.5272,37.4044,24918.2286,12.0546,164.495,-138.1128,-32.9381,-157.3702,1.7844,-0.0741,-1.7489,1,0.1167,3.1E-4,10.0828,0.740473630828309,0.7398131004164227,0.08100481600671797,3.8001442566846872,4.378642693600236,4.567983862142031,5.650934688047933,4.862852731224439,4.601000253506729,4.532065818965525,4.536131384424321,3.0440605054255623,1.0,22.5055054460069,21.790728125452194,21.56377520734788,21.434005096870052,21.498923708664915
48,110.62755325362457,-24.10808264834292,358.6092,37.3903,24947.9938,11.9902,147.4391,-99.8041,-12.8315,-127.4284,1.4792,0.1154,-1.7355,1,0.1167,3.1E-4,10.0792,0.7643358582932593,0.763509765888911,0.2548239866446345,3.809003255296304,4.253974243014666,4.132940033388413,5.206288405740262,4.4003786398513505,4.167940033388414,4.113894916332869,4.128849799277325,3.0557086431604428,1.0,22.274231816853224,21.327472056385798,21.19124199691876,21.115141174104377,21.102782220998286
49,110.61496848264441,-24.14544331225496,358.6065,37.3513,24842.3584,11.9293,141.861,-76.4656,23.5717,-120.5272,1.2905,0.4293,-1.7234,1,0.1167,3.1E-4,10.0755,0.6428407679459589,0.6425882884547242,-0.43919369293953087,3.751201501598589,4.64189789764651,5.868060058170319,7.24022522246863,6.308822820603677,5.859060058170319,5.707330328596623,5.655207205594859,2.9876569401120587,1.0,24.159825018068673,23.33948776894427,22.330492839113592,23.008276670072938,22.510804436156292
51,110.6454174025878,-24.095060883408216,358.6252,37.4069,25336.444,12.0539,150.8308,-131.4441,-9.1583,-157.0935,1.5886,0.0753,-1.6984,1,0.1167,3.1E-4,10.0828,0.7077980005255536,0.7073336158328686,-0.11765874797238424,3.785502262898714,4.499339605081137,5.064513913747413,6.20376851162094,5.40299576250697,5.078272989367634,4.9826775151650615,4.97061386569668,3.0268603748432517,1.0,23.133717885721325,22.515623391976288,21.952731935475988,21.967750677799287,22.396857494683797
52,110.63975260257838,-24.127813938542946,358.6288,37.3738,25223.6722,12.0209,142.8771,-87.7291,-23.4049,-111.3215,1.4054,0.0506,-1.6988,1,0.1167,3.1E-4,10.0792,0.7348411658380339,0.7342375154049506,0.036436365242644514,3.797485394050049,4.4092462414140705,4.679140602062751,5.770547268336772,4.982510298675497,4.709029693078928,4.63580787511128,4.637659996466183,3.041202336392713,1.0,22.691932176629333,21.933462834613987,21.6180872969878,21.763974517204545,22.404205121311403
