#id_star,coord1,coord2,ra,dec,star_distance,age,U,V,W,rV,pmra,pmdec,met,component,ebv,Z,log_age,M_ini,M_act,log_L,log_T,log_g,m_bol,mag_u,mag_g,mag_r,mag_i,mag_z,int_IMF,stage,mag_u_corr,mag_g_corr,mag_r_corr,mag_i_corr,mag_z_corr
30,113.78152016776914,-21.124370313314245,1.4518,40.9291,17737.2247,11.9687,110.7412,-52.1336,-8.7982,-82.9857,1.4501,0.1653,-1.9133,1,0.0739,1.96E-4,10.0792,0.5769045162983454,0.5767506919156103,-0.7117625231522348,3.717675104469732,4.733148934722916,6.549502740366825,8.260471124330035,7.135241488073213,6.5631266699448,6.35287881078885,6.257635781394364,2.938569660794472,1.0,25.272129284930827,23.369950749373878,22.434464952404184,22.73298366717651,22.704283155228673
32,113.68932829763109,-21.25072948310531,1.3718,40.7887,17875.3279,12.017,165.0883,-62.919,-12.5172,-110.9812,2.0638,0.2966,-1.9307,1,0.0739,1.96E-4,10.0792,0.6956538229519913,0.6952664813641454,-0.16808388271910324,3.782733240682073,4.531324851240418,5.190482070170803,6.3334500469987045,5.544555512076931,5.207855895725561,5.1052297212803195,5.0876930003272545,3.0200782133001995,1.0,22.327504156973895,21.74976000793123,21.513502564424996,21.43457975334766,21.632590350478274
33,113.8369046518316,-21.24274907670729,1.5483,40.8225,17909.9431,11.9907,137.4102,-59.2201,4.9695,-104.0476,1.72,0.3886,-1.9657,1,0.0739,1.55E-4,10.0792,0.6559638966123571,0.6556838448326763,-0.3589978021847119,3.762794476368552,4.616840823508694,5.667748762048803,6.922561472219779,6.079335972424369,5.672421104164834,5.537127498977052,5.496161551673238,2.9961849340208557,1.0,22.885236904829732,22.357002251419146,22.061357739192594,21.73803258387336,22.283303783925987
36,113.91854353897895,-21.28545029372294,1.6576,40.7948,17727.8689,12.0422,183.5911,-86.3377,-5.2945,-140.9745,2.3862,0.3701,-1.8279,1,0.0739,2.46E-4,10.0792,0.7596661123804126,0.7588114284757114,0.233067618202117,3.8095704761585703,4.275241143517592,4.18734857353435,5.25434857353435,4.458066668900068,4.227313335455065,4.173454287772206,4.188524763930776,3.0534883056782363,1.0,21.700530897124487,20.769535470049686,20.4898263940382,20.41348663559802,20.3499623292968
38,113.82753012973099,-21.170726524558052,1.5191,40.8916,18013.205,11.989,152.6585,-86.4063,-17.7101,-124.8203,2.0579,0.1206,-1.8567,1,0.0739,1.96E-4,10.0792,0.6674551699229898,0.6671364012480953,-0.3081684489796266,3.7681490398886788,4.594958036768441,5.540748220610644,6.766145588632259,5.934514650025396,5.544575318772222,5.418019202226424,5.383154693034314,3.0033852001502317,1.0,23.22987314760119,22.24552847141498,21.7034371788108,21.783620277747104,21.87513547076116
39,113.7409213006559,-21.135025495966328,1.4052,40.9115,17957.0384,11.99,159.0977,-86.88,-22.0759,-125.9628,2.1415,0.0992,-1.8582,1,0.0739,1.96E-4,10.0792,0.6670954220341445,0.6667764250213886,-0.30987657146713704,3.7679549350605526,4.595663872507082,5.544983235042488,6.771686399180589,5.939314333048153,5.548775041417135,5.421901298788947,5.386860330662177,3.0031614661023864,1.0,23.07754431745679,22.188241114224606,21.7587552246079,21.830913245822703,20.91893285849122
40,113.95902513252555,-21.204190746732785,1.6867,40.8816,18180.2515,12.0168,132.713,-99.609,-7.2869,-132.4718,1.8872,0.1156,-1.9261,1,0.0739,1.96E-4,10.0792,0.642815413174159,0.6425320092314857,-0.42308484255627377,3.754666801688629,4.639560551421576,5.827861840699723,7.151006576979611,6.262439522658909,5.82726290346357,5.67907565662975,5.629883095976688,2.987629401427067,1.0,23.697785893321498,22.661268884569274,22.053962100665267,21.860208891537418,22.037206226803466
41,113.86120848556973,-21.11508524309605,1.5461,40.9522,18025.499,11.9886,174.679,-112.6136,-5.0098,-160.186,2.3957,0.261,-1.9071,1,0.0739,1.96E-4,10.0792,0.7948861926658385,0.7931173628977379,0.8962831121605261,3.7423784597158347,3.362469847668726,2.5290966147691214,3.933747178974268,2.9902262920421316,2.5444878244282476,2.385314195450869,2.3215317761326166,3.0696410932999156,3.0,20.13073812038541,19.263111706626596,18.812478502196182,18.65132893193134,18.643398583756582
42,113.85856657798058,-21.058060647013534,1.5288,41.0077,18208.2205,12.0149,155.6219,-61.8437,0.76,-111.7971,1.8981,0.3966,-1.9338,1,0.0739,1.96E-4,10.0792,0.6855644947958863,0.6852081096189263,-0.2196157973484351,3.7776477093663963,4.5558726169650825,5.319398629763421,6.490005264577441,5.688061083562764,5.3295534481174185,5.218299630394745,5.1938909943180755,3.014251587724297,1.0,22.650609735603098,21.848529194477038,21.619922333757533,21.31449710573683,21.572665040519635
44,113.94616496477093,-21.162814650792114,1.6609,40.92,17680.1976,12.0071,184.4304,-91.0225,14.6911,-152.6892,2.3859,0.5788,-1.9894,1,0.0739,1.55E-4,10.0792,0.7387553091018918,0.7381494736250166,0.09496990671334982,3.8039365324816248,4.378973715439263,4.533075233216625,5.596693189907793,4.82746563577175,4.578920744043834,4.515148298179875,4.5216848306615,3.0431897210349343,1.0,21.62191073054353,21.044751848434725,20.879177958548564,20.82497348572653,21.078003355339494
